name,description,maker,trademark
Chocolate Droste Amargo en Pastillas 100 g,Chocolate Droste Amargo en Pastillas 100 g,Droste,Droste
Jugo En Polvo Rinde Dos Naranja 18 Grs,Jugo En Polvo Rinde Dos Naranja 18 Grs,,Rinde Dos
Chocolate Hamlet Blanco 52 Gr,Chocolate Hamlet Blanco 52 Gr,,Hamlet
Chocolate Karina Blanco X100Gr,Chocolate Karina Blanco X100Gr,,Karina
"Jugo Clight Limonada 1 U
","Jugo Clight Limonada 1 U
",Mondelēz International,Clight 
Leche Chocolatada Uat Larga Vida Tregar 1 Lt,Leche Chocolatada Uat Larga Vida Tregar 1 Lt,,Tregar
Mini Alfajores Havanna De Chocolate Negro 125 Gr,Mini Alfajores Havanna De Chocolate Negro 125 Gr,,Havanna
Salsa Ají Picante Hellmann´S 240 Gr,Salsa Ají Picante Hellmann´S 240 Gr,,Hellmann´S
Turrón Georgalos De Maní,Turrón Georgalos De Maní,,Georgalos
Fiambre de Cerdo Campo Austral 1 Kg,Fiambre de Cerdo Campo Austral 1 Kg,La Piamontesa	,Campo Austral
Queso Provolone Don Atilio 1 Kg,Queso Provolone Don Atilio 1 Kg,Don Atilio,Don Atilio
Cerveza Sol Rubia 650 mL,Cerveza Sol Rubia 650 mL,Cuauhtémoc Moctezuma - Heineken,Sol
Chicle Topline 7 Ultra Raspberry 24 Gr,Chicle Topline 7 Ultra Raspberry 24 Gr,,Topline
Queso Tholem Tentaciones Clásico 190 Gr,Queso Tholem Tentaciones Clásico 190 Gr,,Tholem
Queso La Serenisima Queserísimos cubo,Queso La Serenísima en Cubos PateGras 150 Gr,,LA SERENISIMA
Garrapiñada De Mani Arcor Paquete 100 Gr,Garrapiñada De Mani Arcor Paquete 100 Gr,,Arcor
Chocolate Villars Negro Con Avellana en Tableta  100 g,Chocolate Villars Negro Con Avellana en Tableta  100 g,Villars Maitre Chocolatier,Villars
Yogurt Ser Descremado Calci+ Batido Vainilla 2X120 Gr,Yogurt Ser Descremado Calci+ Batido Vainilla 2X120 Gr,,Ser
Aceto Balsamico Espeso Ahumado 250 Ml,Aceto Balsamico Espeso Ahumado 250 Ml,,Favinco
Queso Parmesano La Paulina 1Kg,Queso Parmesano La Paulina 1Kg,,La Paulina
Vino Tinto Fuego Negro Malbec 750 Cc,Vino Tinto Fuego Negro Malbec 750 Cc,Fuego Negro,Fuego Negro
Vino Tinto Etiqueta Negra Santa Ana 750 Cc,Vino Tinto Etiqueta Negra Santa Ana 750 Cc,,Santa Ana
